Parameter,ENF,EBF,DNF,DBF,MF,CSH,OSH,WSV,SAV,GRS,CRO
Tmin_min(C),-8.0,-8.0,-8.0,-6.0,-7.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
Tmin_max(C),3.99,20.12,4.3,22.04,18.14,20.51,12.17,11.2,8.73,5.87,22.04
VPD_min(Pa),650.0,1000.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0
VPD_max(Pa),3640.0,4055.0,3113.0,3232.0,3160.0,5234.0,5534.0,4336.0,5537.0,4312.0,4650.0
gl_sh((m/s),0.0142642339089992,0.013,0.068,0.014,0.017,0.02,0.02,0.027,0.019,0.039,0.024
gl_e_wv(m/s),0.0142642339089992,0.013,0.032,0.014,0.02,0.02,0.02,0.023,0.038,0.039,0.024
g_cuticular(m/s),7e-05,5e-05,7e-05,6e-05,6e-05,5e-05,5e-05,0.0002,0.00012,0.00023,0.00016
Cl(m/s),0.004086771438464,0.0021,0.0078,0.0063,0.0071,0.0137049252973649,0.0162,0.0104,0.009,0.0115,0.0157
RBL_MIN(s/m),222.0,503.0,464.0,511.0,277.0,200.0,231.0,506.0,82.0,319.0,194.0
RBL_MAX(s/m),1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
beta,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0
