Parameter, BAR, AFG, PFG, SHR, DBF, ENF, EBF, WET
Tmin_min(C), -8, -8, -8, -8, -6, -8, -8, -8
Tmin_max(C), 22.04, 5.87, 5.87, 16.34, 22.04, 3.99, 20.12, 5.87
VPD_min(Pa), 1000, 650, 650, 650, 1000, 650, 1000, 650
VPD_max(Pa), 4650, 4312, 4312, 5234, 3232, 3640, 4055, 4312
gl_sh((m/s), 0.024, 0.039, 0.039, 0.02, 0.014, 0.0143, 0.013, 0.039
gl_e_wv(m/s), 0.024, 0.039, 0.039, 0.02, 0.014, 0.0143, 0.013, 0.039
g_cuticular(m/s), 0.00016, 0.00023, 0.00023, 0.00005, 0.00006, 0.00007, 0.00005, 0.00023
Cl(m/s), 0.0157, 0.0115, 0.0115, 0.0137, 0.0063, 0.00409, 0.0021, 0.0115
RBL_MIN(s/m), 194, 319, 319, 200, 511, 222, 503, 319
RBL_MAX(s/m), 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000
beta, 250, 250, 250, 250, 250, 250, 250, 250
